X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value,1d,1w,1m,6m
D,2021-06-10 18:46:00,2021-06-10 00:00:00,ZS,"Zscaler, Inc.",Sinha Amit,"Pres of R, D, CTO",S - Sale+OE,$201.93 ,"-7,000","737,643",-1%,"($1,413,475)",,,,
D,2021-06-10 18:45:00,2021-06-10 00:00:00,ZS,"Zscaler, Inc.",Canessa Remo,CFO,S - Sale+OE,$200.01 ,"-51,196","316,719",-14%,"($10,239,604)",,,,
,2021-06-10 19:10:00,2021-06-10 00:00:00,EMED,"Electromedical Technologies, Inc",Steinberg Donald J,10%,S - Sale,$0.08 ,"-22,500","3,435,666",-1%,"($1,733)",,,,
D,2021-06-10 19:18:00,2021-06-10 00:00:00,BL,"Blackline, Inc.",Partin Mark,CFO,S - Sale+OE,$103.79 ,"-5,000","97,584",-5%,"($518,931)",,,,
,2021-06-10 19:30:00,2021-06-10 00:00:00,EVFM,"Evofem Biosciences, Inc.",Pelletier Saundra L,CEO,P - Purchase,$1.03 ,"50,000","850,837",6%,"$51,500 ",,,,
,2021-06-10 19:29:00,2021-06-10 00:00:00,EVFM,"Evofem Biosciences, Inc.",Fitzpatrick Alexander A,"GC, Secretary",P - Purchase,$1.03 ,"10,000","311,422",3%,"$10,250 ",,,,
,2021-06-10 19:30:00,2021-06-10 00:00:00,EVFM,"Evofem Biosciences, Inc.",File Justin J.,CFO,P - Purchase,$1.03 ,"24,500","440,388",6%,"$25,235 ",,,,
,2021-06-10 20:39:00,2021-06-10 00:00:00,PANW,Palo Alto Networks Inc,Klarich Lee,"EVP, Chief Product Officer",S - Sale,$354.37 ,"-6,255","277,365",-2%,"($2,216,559)",,,,
D,2021-06-10 21:44:00,2021-06-10 00:00:00,SPKAU,Spk Acquisition Corp.,Kwan Philip Chun-Hun,"CFO, 10%",P - Purchase,$0.00 ,"205,000","1,638,500",14%,$0 ,,,,
,2021-06-11 08:51:00,2021-06-10 00:00:00,SAM,Boston Beer Co Inc,Koch C James,"COB, 10%",S - Sale,"$1,037.74 ","-2,500","252,907",-1%,"($2,594,346)",,,,
,2021-06-11 09:15:00,2021-06-10 00:00:00,ALTG,Alta Equipment Group Inc.,Savas Zachary E.,Dir,P - Purchase,$12.86 ,"5,000","33,781",17%,"$64,275 ",,,,
,2021-06-11 10:35:00,2021-06-10 00:00:00,LLY,Eli Lilly & Co,Lilly Endowment Inc,10%,S - Sale,$233.64 ,"-240,000","109,412,100",0%,"($56,072,352)",,,,
,2021-06-11 10:38:00,2021-06-10 00:00:00,K,Kellogg Co,Kellogg W K Foundation Trust,10%,S - Sale,$65.05 ,"-83,333","59,548,502",0%,"($5,421,145)",,,,
,2021-06-11 10:50:00,2021-06-10 00:00:00,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,491.99 ",29,"376,780",0%,"$43,268 ",,,,
,2021-06-11 11:06:00,2021-06-10 00:00:00,ROG,Rogers Corp,Barnes Keith,Dir,S - Sale,$194.39 ,-775,"4,750",-14%,"($150,652)",,,,
D,2021-06-11 11:26:00,2021-06-10 00:00:00,EFSC,Enterprise Financial Services Corp,Goodman Scott Richard,Pres,S - Sale+OE,$49.13 ,"-4,000","50,407",-7%,"($196,520)",,,,
,2021-06-11 11:33:00,2021-06-10 00:00:00,BANR,Banner Corp,Conner Peter,"EVP, Banner Bank",S - Sale,$58.12 ,-900,"42,730",-2%,"($52,312)",,,,
,2021-06-11 12:00:00,2021-06-10 00:00:00,SHEN,Shenandoah Telecommunications Co/va/,Heimbach David L,"EVP, COO",S - Sale,$50.34 ,"-5,331",0,-100%,"($268,356)",,,,
,2021-06-11 12:17:00,2021-06-10 00:00:00,APTV,Aptiv Plc,Presley William T.,"SVP, Pres, S, PS",S - Sale,$159.61 ,"-4,000","39,146",-9%,"($638,440)",,,,
,2021-06-11 12:50:00,2021-06-10 00:00:00,IIIV,"I3 Verticals, Inc.",Morgan David K.,Dir,P - Purchase,$31.67 ,"3,000","7,000",75%,"$95,010 ",,,,
,2021-06-11 14:04:00,2021-06-10 00:00:00,TREC,Trecora Resources,"Ortelius Advisors, L.P.",10%,P - Purchase,$8.49 ,"31,529","2,523,421",1%,"$267,681 ",,,,
,2021-06-11 14:58:00,2021-06-10 00:00:00,ROP,Roper Technologies Inc,Wallman Richard F,Dir,P - Purchase,$453.25 ,"2,000","59,008",4%,"$906,500 ",,,,
,2021-06-11 15:18:00,2021-06-10 00:00:00,CIEN,Ciena Corp,Moylan James E Jr,"SVP Finance, CFO",S - Sale,$60.46 ,"-2,000","335,794",-1%,"($120,920)",,,,
,2021-06-11 15:20:00,2021-06-10 00:00:00,NARI,"Inari Medical, Inc.",Milder Donald B,"Dir, 10%",S - Sale,$90.54 ,"-7,000","4,808,817",0%,"($633,784)",,,,
,2021-06-11 15:20:00,2021-06-10 00:00:00,RGS,Regis Corp,Lain Jim Brian,Pres - Portfolio Brands,S - Sale,$10.08 ,"-1,650","81,611",-2%,"($16,634)",,,,
D,2021-06-11 15:33:00,2021-06-10 00:00:00,EL,Estee Lauder Companies Inc,Lauder Jane,Dir,S - Sale+OE,$298.50 ,"-22,752","50,783",-31%,"($6,791,497)",,,,
,2021-06-11 16:03:00,2021-06-10 00:00:00,HRC,"Hill-Rom Holdings, Inc.",Rasin Deborah,"SVP, GC",S - Sale,$113.30 ,"-5,000","19,944",-20%,"($566,504)",,,,
,2021-06-11 16:05:00,2021-06-10 00:00:00,PEI,Pennsylvania Real Estate Investment Trust,Ioannou Andrew M.,"EVP - Finance, Acquisitions",S - Sale,$3.09 ,"-13,940","109,555",-11%,"($43,075)",,,,
,2021-06-11 16:05:00,2021-06-10 00:00:00,PEI,Pennsylvania Real Estate Investment Trust,Coradino Joseph F,CEO,S - Sale,$3.05 ,"-275,000","598,997",-31%,"($838,750)",,,,
,2021-06-11 16:05:00,2021-06-10 00:00:00,PEI,Pennsylvania Real Estate Investment Trust,Ventresca Mario C. Jr.,EVP - CFO,S - Sale,$3.25 ,"-26,000","159,701",-14%,"($84,500)",,,,
,2021-06-11 16:07:00,2021-06-10 00:00:00,APLS,"Apellis Pharmaceuticals, Inc.",Scheibler Lukas,CHIEF INNOVATION OFFICER,S - Sale,$60.00 ,"-3,417","26,651",-11%,"($205,020)",,,,
,2021-06-11 16:06:00,2021-06-10 00:00:00,EXPI,"Exp World Holdings, Inc.",Gesing Jason,"CEO of eXp Realty, 10%",S - Sale,$37.94 ,"-40,000","2,245,022",-2%,"($1,517,570)",,,,
D,2021-06-11 16:06:00,2021-06-10 00:00:00,TDOC,"Teladoc Health, Inc.",Trencher Daniel,SVP Corporate Strategy,S - Sale+OE,$150.07 ,"-2,000","23,486",-8%,"($300,140)",,,,
,2021-06-11 16:05:00,2021-06-10 00:00:00,PKI,Perkinelmer Inc,Okun Andrew,Please See Remarks,S - Sale,$145.71 ,"-2,370","8,260",-22%,"($345,333)",,,,
,2021-06-11 19:04:00,2021-06-10 00:00:00,KTOS,"Kratos Defense & Security Solutions, Inc.",Anderson Scott I,Dir,S - Sale,$26.16 ,"-7,333","121,734",-6%,"($191,795)",,,,
D,2021-06-11 18:55:00,2021-06-10 00:00:00,NTRA,"Natera, Inc.",Brophy Michael Burkes,CFO,S - Sale+OE,$102.61 ,"-1,209","95,731",-1%,"($124,050)",,,,
,2021-06-11 19:07:00,2021-06-10 00:00:00,KTOS,"Kratos Defense & Security Solutions, Inc.",Jarvis Scot B,Dir,S - Sale,$26.50 ,"-7,761","117,939",-6%,"($205,667)",,,,
,2021-06-11 19:30:00,2021-06-10 00:00:00,PBYI,"Puma Biotechnology, Inc.",Wilson Troy Edward,Dir,S - Sale,$11.36 ,"-25,748",900,-97%,"($292,433)",,,,
D,2021-06-11 19:00:00,2021-06-10 00:00:00,NTRA,"Natera, Inc.",Sheena Jonathan,CO-FOUNDER,S - Sale+OE,$102.60 ,"-1,034","474,135",0%,"($106,090)",,,,
D,2021-06-11 18:58:00,2021-06-10 00:00:00,NTRA,"Natera, Inc.",Rabinowitz Matthew,Exec COB,S - Sale+OE,$102.60 ,-698,"1,233,090",0%,"($71,617)",,,,
D,2021-06-11 18:57:00,2021-06-10 00:00:00,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,$266.41 ,"-50,000","74,349,802",0%,"($13,320,280)",,,,
D,2021-06-11 18:08:00,2021-06-10 00:00:00,TFX,Teleflex Inc,Hicks Cameron P,"Corp. VP, CHRO",S - Sale+OE,$395.86 ,"-3,476","8,639",-29%,"($1,375,996)",,,,
D,2021-06-11 18:12:00,2021-06-10 00:00:00,QNTO,Quaint Oak Bancorp Inc,Clarke James J,Dir,P - Purchase,$18.25 ,200,"61,540",0%,"$3,650 ",,,,
D,2021-06-11 18:14:00,2021-06-10 00:00:00,AVLR,"Avalara, Inc.",Zwickert Kathleen,Dir,S - Sale+OE,$134.61 ,"-1,927","3,777",-34%,"($259,393)",,,,
D,2021-06-11 18:16:00,2021-06-10 00:00:00,GATO,"Gatos Silver, Inc.",Pyle Philip,"VP of Expl, Chief Geologist",S - Sale+OE,$19.31 ,"-58,334","66,218",-47%,"($1,126,430)",,,,
D,2021-06-11 18:56:00,2021-06-10 00:00:00,NTRA,"Natera, Inc.",Chapman Steven Leonard,"CEO, Pres",S - Sale+OE,$102.61 ,"-1,158","78,556",-1%,"($118,817)",,,,
,2021-06-11 18:21:00,2021-06-10 00:00:00,TW,Tradeweb Markets Inc.,Maisey Simon,"MD, Corp. Dev.",S - Sale,$83.08 ,-750,"85,167",-1%,"($62,310)",,,,
D,2021-06-11 18:31:00,2021-06-10 00:00:00,CYRX,"Cryoport, Inc.",Zecchini Edward J,Dir,S - Sale+OE,$59.11 ,"-4,167","35,023",-11%,"($246,311)",,,,
D,2021-06-11 18:56:00,2021-06-10 00:00:00,NTRA,"Natera, Inc.",Rabinowitz Daniel,"SEC., GC",S - Sale+OE,$102.61 ,-911,"48,227",-2%,"($93,473)",,,,
D,2021-06-11 20:52:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",McBeath Kathryn,Chief People Officer,S - Sale+OE,$11.38 ,-566,"1,041",-35%,"($6,443)",,,,
,2021-06-11 21:30:00,2021-06-10 00:00:00,SONM,Sonim Technologies Inc,Tirva Robert L.,"Pres, CFO, COO",S - Sale,$0.64 ,"-42,891","716,354",-6%,"($27,450)",,,,
D,2021-06-11 21:20:00,2021-06-10 00:00:00,SNX,Synnex Corp,Murai Kevin M,Dir,S - Sale+OE,$126.69 ,"-4,275","101,002",-4%,"($541,586)",,,,
,2021-06-11 21:08:00,2021-06-10 00:00:00,DKNG,Draftkings Inc.,Liberman Paul,See Remarks,S - Sale,$53.51 ,"-85,000","2,440,256",-3%,"($4,548,170)",,,,
,2021-06-11 21:08:00,2021-06-10 00:00:00,RARE,Ultragenyx Pharmaceutical Inc.,Parschauer Karah Herdman,"EVP, GC",S - Sale,$100.00 ,"-1,329","28,668",-4%,"($132,900)",,,,
D,2021-06-11 20:53:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Rekow Mathew,CTO,S - Sale+OE,$11.38 ,"-3,808","138,734",-3%,"($43,350)",,,,
D,2021-06-11 20:53:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Tarman Laura,"VP of Sales, NA",S - Sale+OE,$11.38 ,-970,"12,766",-7%,"($11,042)",,,,
D,2021-06-11 20:54:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Vella Michael,"Gen.Cnsl., Acting Secty",S - Sale+OE,$11.38 ,"-10,373","47,429",-18%,"($118,086)",,,,
D,2021-06-11 20:52:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Gopalan Anand,"Pres, CEO",S - Sale+OE,$11.38 ,"-11,533","383,783",-3%,"($131,292)",,,,
D,2021-06-11 20:52:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Jellen Joseph Michael,Chief Strategy Officer,S - Sale+OE,$11.38 ,"-4,284","1,376,552",0%,"($48,769)",,,,
D,2021-06-11 19:11:00,2021-06-10 00:00:00,EXAS,Exact Sciences Corp,Condella Sarah,"SVP, HR",S - Sale+OE,$120.00 ,"-5,450","75,802",-7%,"($654,000)",,,,
D,2021-06-11 20:51:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Hamer Andrew,"CFO, Treasurer",S - Sale+OE,$11.38 ,"-2,375","84,008",-3%,"($27,037)",,,,
D,2021-06-11 20:52:00,2021-06-10 00:00:00,VLDR,"Velodyne Lidar, Inc.",Frykman Sally,CMO,S - Sale+OE,$11.38 ,"-1,474","33,438",-4%,"($16,780)",,,,
D,2021-06-11 20:38:00,2021-06-10 00:00:00,PCRX,"Pacira Biosciences, Inc.",Williams Kristen Marie,Chief Administrative Officer,S - Sale+OE,$59.60 ,"-5,689","22,268",-20%,"($339,063)",,,,
DM,2021-06-11 20:30:00,2021-06-10 00:00:00,SURF,"Surface Oncology, Inc.",Goater Jeff,Dir,S - Sale+OE,$7.66 ,"-250,000","257,000",-49%,"($1,914,845)",,,,
,2021-06-11 20:23:00,2021-06-10 00:00:00,OPEN,Opendoor Technologies Inc.,Keffer Pueo,Dir,P - Purchase,$16.90 ,"59,347","190,297",45%,"$1,002,810 ",,,,
,2021-06-11 17:36:00,2021-06-10 00:00:00,PBYI,"Puma Biotechnology, Inc.",Moyes Jay M,Dir,S - Sale,$11.36 ,"-25,248","6,322",-80%,"($286,860)",,,,
D,2021-06-11 19:32:00,2021-06-10 00:00:00,HTBK,Heritage Commerce Corp,Moles Robert,Dir,S - Sale+OE,$11.70 ,"-4,500","63,279",-7%,"($52,668)",,,,
DM,2021-06-11 19:22:00,2021-06-10 00:00:00,FSR,Fisker Inc./de,Gupta Geeta,CFO,S - Sale+OE,$17.83 ,"-561,956","941,518",-37%,"($10,017,655)",,,,
DM,2021-06-11 19:21:00,2021-06-10 00:00:00,FSR,Fisker Inc./de,Fisker Henrik,"Pres, CEO",S - Sale+OE,$17.83 ,"-561,956","941,518",-37%,"($10,017,655)",,,,
,2021-06-11 16:29:00,2021-06-10 00:00:00,NTNX,"Nutanix, Inc.",Maner Tarkan,Chief Commercial Officer,S - Sale,$35.00 ,"-19,938","64,698",-24%,"($697,830)",,,,
,2021-06-11 16:44:00,2021-06-10 00:00:00,KALU,Kaiser Aluminum Corp,West Neal E,"EVP, CFO",S - Sale,$133.73 ,-400,"23,850",-2%,"($53,492)",,,,
,2021-06-11 16:40:00,2021-06-10 00:00:00,BKR,Baker Hughes Co,Borras Maria C,"EVP, Oilfield Services",S - Sale,$26.16 ,"-7,097","118,274",-6%,"($185,658)",,,,
D,2021-06-11 16:38:00,2021-06-10 00:00:00,ALKS,Alkermes Plc.,Gaffin David Joseph,"SVP, CLO, Alkermes, Inc.",S - Sale+OE,$25.00 ,"-13,500","74,597",-15%,"($337,500)",,,,
,2021-06-11 16:34:00,2021-06-10 00:00:00,DASH,"Doordash, Inc.",Meresman Stanley J,Dir,S - Sale,$145.08 ,"-15,967","129,553",-11%,"($2,316,492)",,,,
,2021-06-11 16:35:00,2021-06-10 00:00:00,PFHD,Professional Holding Corp.,Garcia Carlos M.,Dir,S - Sale,$18.39 ,"-5,117","433,627",-1%,"($94,102)",,,,
,2021-06-11 16:35:00,2021-06-10 00:00:00,INOD,Innodata Inc,Forlenza Louise C,Dir,S - Sale,$7.08 ,"-10,000","44,858",-18%,"($70,800)",,,,
D,2021-06-11 16:37:00,2021-06-10 00:00:00,ALKS,Alkermes Plc.,Dixon Wendy L,Dir,S - Sale+OE,$25.00 ,"-25,000","41,300",-38%,"($625,000)",,,,
D,2021-06-11 16:31:00,2021-06-10 00:00:00,HES,Hess Corp,Hill Gregory P.,"COO, Pres, E, P",S - Sale+OE,$89.43 ,"-8,198","137,544",-6%,"($733,133)",,,,
D,2021-06-11 16:30:00,2021-06-10 00:00:00,OLMA,"Olema Pharmaceuticals, Inc.",Horn Kinney,Chief Business Officer,S - Sale+OE,$29.72 ,"-5,251","1,790",-75%,"($156,071)",,,,
,2021-06-11 16:30:00,2021-06-10 00:00:00,KBLB,"Kraig Biocraft Laboratories, Inc",Thompson Kimberly Kraig,"CEO, CFO, 10%",S - Sale,$0.00 ,"-50,000","204,108,299",0%,$0 ,,,,
,2021-06-11 16:45:00,2021-06-10 00:00:00,MAA,Mid America Apartment Communities Inc.,Stockert David P,Dir,S - Sale,$171.87 ,"-4,000","109,592",-4%,"($687,458)",,,,
,2021-06-11 16:27:00,2021-06-10 00:00:00,PYPL,"Paypal Holdings, Inc.",Schulman Daniel H,"Pres, CEO",S - Sale,$267.77 ,"-10,000","248,550",-4%,"($2,677,672)",,,,
M,2021-06-11 16:27:00,2021-06-10 00:00:00,REAL,"Therealreal, Inc.",Wainwright Julie,CEO,S - Sale,$20.03 ,"-60,000","2,900,497",-2%,"($1,201,826)",,,,
,2021-06-11 16:26:00,2021-06-10 00:00:00,NVCR,Novocure Ltd,Shah Pritesh,Chief Commercial Officer,S - Sale,$215.00 ,"-23,540","77,732",-23%,"($5,061,100)",,,,
,2021-06-11 16:23:00,2021-06-10 00:00:00,XXII,"22Nd Century Group, Inc.",Fleet Clifford B,Dir,S - Sale,$4.78 ,"-125,000","233,932",-35%,"($597,500)",,,,
D,2021-06-11 16:22:00,2021-06-10 00:00:00,MTN,Vail Resorts Inc,Barkin Michael Z,"EVP, CFO",S - Sale+OE,$317.94 ,"-1,492","17,556",-8%,"($474,360)",,,,
,2021-06-11 16:19:00,2021-06-10 00:00:00,CDLX,"Cardlytics, Inc.",Christiansen Andrew,CFO,S - Sale,$110.28 ,-500,"12,127",-4%,"($55,140)",,,,
,2021-06-11 16:17:00,2021-06-10 00:00:00,HII,"Huntington Ingalls Industries, Inc.",Dickseski Jerri F,"EX. VP, Communications",S - Sale,$223.40 ,-125,"29,824",0%,"($27,925)",,,,
D,2021-06-11 16:11:00,2021-06-10 00:00:00,NRIX,"Nurix Therapeutics, Inc.",Ring Christine,GC,S - Sale+OE,$29.40 ,"-1,200",805,-60%,"($35,282)",,,,
D,2021-06-11 16:12:00,2021-06-10 00:00:00,GBIO,Generation Bio Co.,Stanton Matthew,CHIEF SCIENTIFIC OFFICER,S - Sale+OE,$27.23 ,"-6,000","198,154",-3%,"($163,380)",,,,
D,2021-06-11 16:15:00,2021-06-10 00:00:00,KYMR,"Kymera Therapeutics, Inc.",Mainolfi Nello,CEO,S - Sale+OE,$51.38 ,"-23,009","412,199",-5%,"($1,182,106)",,,,
D,2021-06-11 17:05:00,2021-06-10 00:00:00,VEEV,Veeva Systems Inc,Mateo Alan,EVP Global Sales,S - Sale+OE,$289.00 ,"-2,347","9,946",-19%,"($678,283)",,,,
D,2021-06-11 17:51:00,2021-06-10 00:00:00,SBAC,Sba Communications Corp,Krouse George R Jr,Dir,S - Sale+OE,$318.81 ,-471,"10,153",-4%,"($150,160)",,,,
,2021-06-11 17:43:00,2021-06-10 00:00:00,MGNI,"Magnite, Inc.",Caine Paul,Dir,S - Sale,$32.75 ,"-15,000","154,608",-9%,"($491,304)",,,,
D,2021-06-11 16:10:00,2021-06-10 00:00:00,NRIX,"Nurix Therapeutics, Inc.",Beaurang Pierre,Chief Business Officer,S - Sale+OE,$29.37 ,"-7,500","120,996",-6%,"($220,248)",,,,
,2021-06-11 17:27:00,2021-06-10 00:00:00,BAH,Booz Allen Hamilton Holding Corp,McClain Gretchen W,Dir,S - Sale,$87.55 ,"-2,000","21,472",-9%,"($175,100)",,,,
D,2021-06-11 17:29:00,2021-06-10 00:00:00,ASAN,"Asana, Inc.",Lacey Eleanor B,"GC, Corporate Secretary",S - Sale+OE,$45.00 ,"-10,000","129,359",-7%,"($450,000)",,,,
DM,2021-06-11 17:25:00,2021-06-10 00:00:00,GSHD,"Goosehead Insurance, Inc.",Mark & Robyn Jones Descendants Trust 2014,"Member of 10% owner group, 10%",S - Sale+OE,$93.25 ,"-141,109","13,012,971",-1%,"($13,159,094)",,,,
,2021-06-11 17:26:00,2021-06-10 00:00:00,STWD,"Starwood Property Trust, Inc.",Dimodica Jeffrey F.,Pres,S - Sale,$26.69 ,"-38,000","929,316",-4%,"($1,014,220)",,,,
D,2021-06-11 17:15:00,2021-06-10 00:00:00,COLD,Americold Realty Trust,Novosel Thomas C,See Remarks,S - Sale+OE,$39.15 ,"-5,000","6,736",-43%,"($195,725)",,,,
,2021-06-11 17:10:00,2021-06-10 00:00:00,BWXT,"Bwx Technologies, Inc.",Black David S,"SVP, CFO",S - Sale,$64.33 ,"-1,000","73,875",-1%,"($64,330)",,,,
,2021-06-11 17:08:00,2021-06-10 00:00:00,EXPD,Expeditors International of Washington Inc,Alger Glenn M,Dir,S - Sale,$124.48 ,"-160,000","359,595",-31%,"($19,917,520)",,,,
